Zone,clusters
Afghanistan,1
Niger,1
Nicaragua,1
Namibie,1
Mozambique,1
Malawi,1
Madagascar,1
Éthiopie,1
Liban,1
Lesotho,1
Nigéria,1
Kenya,1
Iraq,1
Indonésie,1
Inde,1
Honduras,1
Haïti,1
Guinée-Bissau,1
Guinée,1
Guatemala,1
Ghana,1
Jordanie,1
Gambie,1
Népal,1
Pakistan,1
Équateur,1
Zimbabwe,1
Zambie,1
Yémen,1
Vanuatu,1
Togo,1
Timor-Leste,1
Tchad,1
Tadjikistan,1
Ouganda,1
Sénégal,1
Sri Lanka,1
Soudan,1
Sierra Leone,1
Sao Tomé-et-Principe,1
République-Unie de Tanzanie,1
République populaire démocratique de Corée,1
République centrafricaine,1
Rwanda,1
Philippines,1
Suriname,1
Eswatini,1
Libéria,1
Îles Salomon,1
Burkina Faso,1
Bolivie (État plurinational de),1
Belize,1
Côte d'Ivoire,1
Bangladesh,1
Bénin,1
Congo,1
Cabo Verde,1
Djibouti,1
Cameroun,1
El Salvador,1
Angola,1
Cambodge,1
Botswana,1
Monténégro,2
Norvège,2
Mexique,2
Malte,2
Estonie,2
Canada,2
Brésil,2
Portugal,2
Polynésie française,2
Luxembourg,2
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2
Belgique,2
Suisse,2
Autriche,2
Suède,2
Australie,2
Argentine,2
Allemagne,2
Albanie,2
États-Unis d'Amérique,2
Pays-Bas,2
Lituanie,2
Nouvelle-Zélande,2
Chine - RAS de Macao,2
Kazakhstan,2
Israël,2
France,2
Islande,2
Irlande,2
Danemark,2
Chine - RAS de Hong-Kong,2
Finlande,2
Espagne,2
Pérou,3
Costa Rica,3
Iran (République islamique d'),3
Turkménistan,3
Arabie saoudite,3
Azerbaïdjan,3
Panama,3
Oman,3
Tunisie,3
Gabon,3
Turquie,3
Maroc,3
Maldives,3
Mali,3
Émirats arabes unis,3
Égypte,3
Malaisie,3
Koweït,3
Mauritanie,3
Kirghizistan,3
Chili,3
Algérie,3
Viet Nam,3
Colombie,3
Kiribati,3
Afrique du Sud,3
Slovaquie,4
Bahamas,4
Sainte-Lucie,4
Venezuela (République bolivarienne du),4
Thaïlande,4
Antigua-et-Barbuda,4
Grenade,4
Saint-Kitts-et-Nevis,4
République dominicaine,4
Paraguay,4
Mongolie,4
Chypre,4
Nouvelle-Calédonie,4
Jamaïque,4
République de Moldova,4
Fidji,4
Slovénie,5
Macédoine du Nord,5
Lettonie,5
"Chine, continentale",5
Maurice,5
Cuba,5
Myanmar,5
Fédération de Russie,5
Samoa,5
Bélarus,5
Japon,5
Uruguay,5
Ukraine,5
Barbade,5
Guyana,5
Serbie,5
Trinité-et-Tobago,5
Bulgarie,5
Géorgie,5
Pologne,5
Tchéquie,5
Roumanie,5
Arménie,5
Croatie,5
Grèce,5
Dominique,5
Bosnie-Herzégovine,5
Hongrie,5
République de Corée,5
Italie,5
Saint-Vincent-et-les Grenadines,5
